"filename", "language", "HTML", "TypeScript", "JSON", "JSON with Comments", "Markdown", "Vue", "comment", "blank", "total"
"d:\dev\project\AkiWeb\aki-web-frontend\README.md", "Markdown", 0, 0, 0, 0, 20, 0, 0, 14, 34
"d:\dev\project\AkiWeb\aki-web-frontend\auto-imports.d.ts", "TypeScript", 0, 64, 0, 0, 0, 0, 7, 1, 72
"d:\dev\project\AkiWeb\aki-web-frontend\components.d.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 5, 2, 16
"d:\dev\project\AkiWeb\aki-web-frontend\env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\dev\project\AkiWeb\aki-web-frontend\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 1, 14
"d:\dev\project\AkiWeb\aki-web-frontend\package-lock.json", "JSON", 0, 0, 3515, 0, 0, 0, 0, 1, 3516
"d:\dev\project\AkiWeb\aki-web-frontend\package.json", "JSON", 0, 0, 40, 0, 0, 0, 0, 1, 41
"d:\dev\project\AkiWeb\aki-web-frontend\src\App.vue", "Vue", 0, 0, 0, 0, 0, 21, 1, 5, 27
"d:\dev\project\AkiWeb\aki-web-frontend\src\api\core\ApiError.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 4, 4, 26
"d:\dev\project\AkiWeb\aki-web-frontend\src\api\core\ApiRequestOptions.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 4, 1, 18
"d:\dev\project\AkiWeb\aki-web-frontend\src\api\core\ApiResult.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 4, 1, 12
"d:\dev\project\AkiWeb\aki-web-frontend\src\api\core\CancelablePromise.ts", "TypeScript", 0, 108, 0, 0, 0, 0, 4, 20, 132
"d:\dev\project\AkiWeb\aki-web-frontend\src\api\core\OpenAPI.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 4, 4, 33
"d:\dev\project\AkiWeb\aki-web-frontend\src\api\core\request.ts", "TypeScript", 0, 264, 0, 0, 0, 0, 13, 47, 324
"d:\dev\project\AkiWeb\aki-web-frontend\src\api\index.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 4, 3, 19
